Country,Date,ave_sm,weighted_ave_sm,na_percent,weighted_na_percent,weighted_available_percent
Senegal,1978-11-01,0.18639720234871002,0.17449317461443525,5.571571842215299,3.7706601822170636,96.22933981778294
Senegal,1978-11-11,0.181143051964651,0.17777730803674535,5.571571842215299,3.7706601822170636,96.22933981778294
Senegal,1978-11-21,0.16297393093368467,0.16339859392079034,5.475369326488074,3.7508268808366085,96.24917311916339
Senegal,1978-12-01,0.2046494340536288,0.20018313222480125,5.475369326488074,3.7508268808366085,96.24917311916339
Senegal,1978-12-11,0.1475736909825349,0.14558882139780627,5.475369326488074,3.7508268808366085,96.24917311916339
Senegal,1978-12-21,0.12703266905823232,0.12099452878504557,5.475369326488074,3.7508268808366085,96.24917311916339
Senegal,1979-01-01,0.10779661822859885,0.10081192486278044,5.475369326488074,3.7508268808366085,96.24917311916339
Senegal,1979-01-11,0.10837432439618133,0.10468182394625378,5.321319546401995,3.7107633334904864,96.28923666650951
Senegal,1979-01-21,0.07673179769728866,0.07408395054430385,5.321319546401995,3.7107633334904864,96.28923666650951
Senegal,1979-02-01,0.08797540081350551,0.08592749703730898,5.303085082636703,3.709621247315488,96.29037875268452
Senegal,1979-02-11,0.06903294928744892,0.06537495889543957,5.303085082636703,3.709621247315488,96.29037875268452
Senegal,1979-02-21,0.07642987690581586,0.07562455125492996,5.303085082636703,3.709621247315488,96.29037875268452
Senegal,1979-03-01,0.06554204647995782,0.06092119352931454,5.303085082636703,3.709621247315488,96.29037875268452
Senegal,1979-03-11,0.06677787712782131,0.062418062802190206,5.303085082636703,3.709621247315488,96.29037875268452
Senegal,1979-03-21,0.06762008750190639,0.06278120380757993,5.303085082636703,3.709621247315488,96.29037875268452
Senegal,1979-04-01,0.06568215933028772,0.05999032238117688,5.303085082636703,3.709621247315488,96.29037875268452
Senegal,1979-04-11,0.07551010433201436,0.06410938064990261,5.303085082636703,3.709621247315488,96.29037875268452
Senegal,1979-04-21,0.07088559153452711,0.06435776648878958,5.303085082636703,3.709621247315488,96.29037875268452
Senegal,1979-05-01,0.08080912627852681,0.07291194166418524,5.303085082636703,3.709621247315488,96.29037875268452
Senegal,1979-05-11,0.09205491548909908,0.08580852995993497,5.192420750819765,3.6947532352202384,96.30524676477977
Senegal,1979-05-21,0.11842302646118057,0.10810208671670755,5.192420750819765,3.6947532352202384,96.30524676477977
Senegal,1979-06-01,0.14614738306898886,0.13233644921338686,5.192420750819765,3.6947532352202384,96.30524676477977
Senegal,1979-06-11,0.1848185464993054,0.1743676418280072,5.192420750819765,3.6947532352202384,96.30524676477977
Senegal,1979-06-21,0.19567589934978294,0.18599080797359363,5.192420750819765,3.6947532352202384,96.30524676477977
Senegal,1979-07-01,0.20753229667015835,0.19709037959348535,5.192420750819765,3.6947532352202384,96.30524676477977
Senegal,1979-07-11,0.25014309189905815,0.24347625219265912,5.192420750819765,3.6947532352202384,96.30524676477977
Senegal,1979-07-21,0.13738579367499787,0.13574893540469424,5.192420750819765,3.6947532352202384,96.30524676477977
Senegal,1979-08-01,0.24261873472540682,0.23728217634272222,5.192420750819765,3.6947532352202384,96.30524676477977
Senegal,1979-08-11,0.22706472221909255,0.210216687781008,5.192420750819765,3.6947532352202384,96.30524676477977
Senegal,1979-08-21,0.26534782942580687,0.26013280308259995,5.192420750819765,3.6947532352202384,96.30524676477977
Senegal,1979-09-01,0.29999599299267055,0.28384054496575617,5.192420750819765,3.6947532352202384,96.30524676477977
Senegal,1979-09-11,0.2858900178465985,0.27325616743632214,5.192420750819765,3.6947532352202384,96.30524676477977
Senegal,1979-09-21,0.2728598573006483,0.256147405336746,5.192420750819765,3.6947532352202384,96.30524676477977
Senegal,1979-10-01,0.24641633624826945,0.2375643026064097,5.192420750819765,3.6947532352202384,96.30524676477977
Senegal,1979-10-11,0.22851015464681687,0.2166288161708071,5.192420750819765,3.6947532352202384,96.30524676477977
Senegal,1979-10-21,0.20341014406957295,0.19118676912089697,5.192420750819765,3.6947532352202384,96.30524676477977
Senegal,1979-11-01,0.16524755895713547,0.1551658946995143,5.192420750819765,3.6947532352202384,96.30524676477977
Senegal,1979-11-11,0.15754182717255227,0.14625489886210816,5.192420750819765,3.6947532352202384,96.30524676477977
Senegal,1979-11-21,0.13648023256342978,0.12817399443216823,5.192420750819765,3.6947532352202384,96.30524676477977
Senegal,1979-12-01,0.1180738290008663,0.11183910854325983,5.192420750819765,3.6947532352202384,96.30524676477977
Senegal,1979-12-11,0.09299692590946847,0.08550181119134405,5.192420750819765,3.6947532352202384,96.30524676477977
Senegal,1979-12-21,0.0950313211732514,0.08867187198125834,5.192420750819765,3.6947532352202384,96.30524676477977
Senegal,1980-01-01,0.08608631383235647,0.08012477572952405,5.192420750819765,3.6947532352202384,96.30524676477977
Senegal,1980-01-11,0.0724729858868603,0.06692851925769233,5.192420750819765,3.6947532352202384,96.30524676477977
Senegal,1980-01-21,0.07294145345320777,0.06857940918238493,5.192420750819765,3.6947532352202384,96.30524676477977
Senegal,1980-02-01,0.0754984920939068,0.06765631981627257,5.192420750819765,3.6947532352202384,96.30524676477977
Senegal,1980-02-11,0.0709627311820681,0.06503073909751925,5.192420750819765,3.6947532352202384,96.30524676477977
Senegal,1980-02-21,0.07263861964796499,0.06825287249045002,5.192420750819765,3.6947532352202384,96.30524676477977
Senegal,1980-03-01,0.07146147796027758,0.0654301100963063,5.192420750819765,3.6947532352202384,96.30524676477977
Senegal,1980-03-11,0.06558670657099537,0.06095220463786797,5.192420750819765,3.6947532352202384,96.30524676477977
